#{"t_start": 1696590095.593497, "env_id": "None"}
r,l,t
687.775657,240,38425.284941
786.605256,240,38445.832611
785.119254,240,38466.339092
681.967429,240,38486.884146
1090.844964,240,38507.417402
576.660478,240,38527.961103
891.327262,240,38548.471033
889.103458,240,38569.215285
993.243506,240,38589.77516
784.815277,240,38610.366472
990.040361,240,38630.857999
781.507116,240,38651.367161
582.5558,240,38671.87801
683.187827,240,38692.323288
575.710709,240,38712.84776
687.220037,240,38733.342946
683.563621,240,38753.849222
784.755976,240,38774.361795
887.122819,240,38794.899616
781.727485,240,38815.417117
885.549746,240,38835.901389
788.420703,240,38856.514589
580.953941,240,38876.991197
675.28103,240,38897.645401
781.61808,240,38918.41244
780.887463,240,38939.051567
679.435117,240,38959.595707
882.880679,240,38980.097508
463.03199,240,39000.549181
678.759939,240,39021.075688
679.877655,240,39041.650568
888.353088,240,39062.189555
787.509881,240,39082.706675
885.485178,240,39103.207581
582.614954,240,39123.800485
571.287928,240,39144.275537
884.274065,240,39164.808657
479.185013,240,39185.299512
782.768161,240,39205.848573
680.741904,240,39226.453761
480.408427,240,39246.93189
675.006864,240,39267.46224
678.819314,240,39287.976976
888.927801,240,39308.49953
991.608024,240,39329.052493
684.102276,240,39349.601681
685.343702,240,39370.112455
686.666431,240,39390.608807
1291.051984,240,39411.127366
681.046183,240,39431.563399
683.651179,240,39452.085517
677.86176,240,39472.840427
681.601575,240,39493.271121
682.230575,240,39513.899951
581.919524,240,39534.366782
469.385022,240,39555.054356
1090.188131,240,39575.600027
689.344995,240,39596.168545
790.42822,240,39616.717246
677.53596,240,39637.225509
784.513601,240,39657.788039
894.196028,240,39678.272373
885.304646,240,39698.763891
585.330524,240,39719.270216
888.939063,240,39739.712486
791.275621,240,39760.326941
887.981651,240,39780.930341
787.727699,240,39801.37754
893.947442,240,39821.924448
684.176104,240,39842.36533
783.144032,240,39862.8799
893.738116,240,39883.328523
580.87949,240,39903.793545
684.896311,240,39924.276115
791.572158,240,39944.769235
787.193915,240,39965.477557
685.775115,240,39986.024049
890.100676,240,40006.545237
892.944765,240,40027.048441
786.132767,240,40047.581532
987.545778,240,40068.101205
788.239184,240,40088.64103
683.597588,240,40109.26386
990.676694,240,40129.790731
888.206852,240,40150.335695
582.08713,240,40170.823321
577.051889,240,40191.296695
583.610348,240,40211.793355
470.781615,240,40232.26525
685.551975,240,40252.960605
678.660112,240,40273.516974
788.111841,240,40294.03089
891.362692,240,40314.475959
887.604471,240,40334.992397
788.486124,240,40355.529654
889.849894,240,40376.233941
583.357827,240,40396.775835
993.766215,240,40417.331198
584.192671,240,40437.823403
984.494881,240,40458.28364
679.267566,240,40478.788569
895.14372,240,40499.339158
990.716886,240,40519.851199
676.555083,240,40540.319581
682.150194,240,40560.702407
572.216354,240,40581.212887
989.511866,240,40601.954432
883.382393,240,40622.466011
780.353348,240,40642.942225
791.597416,240,40663.604528
784.724718,240,40684.210062
580.066667,240,40704.753117
788.713868,240,40725.337829
577.640663,240,40745.883791
886.341544,240,40766.410232
680.899245,240,40786.908748
885.397073,240,40807.393898
1090.677043,240,40827.910849
991.979002,240,40848.443403
888.460235,240,40869.178029
682.228333,240,40889.731509
991.768719,240,40910.265616
786.676583,240,40930.764157
681.192126,240,40951.297339
682.843145,240,40971.836117
789.762025,240,40992.41491
786.187255,240,41013.055833
786.768701,240,41033.512675
1188.427233,240,41054.036103
683.866606,240,41074.564446
687.152002,240,41095.059884
888.718967,240,41115.518759
883.051897,240,41136.068461
780.597641,240,41156.557142
883.484331,240,41177.08984
783.339812,240,41197.571674
782.748185,240,41218.121959
1195.942208,240,41238.633634
788.324611,240,41259.165498
886.564112,240,41279.854618
679.591062,240,41300.344637
782.74983,240,41320.836166
580.015556,240,41341.374348
993.385909,240,41361.856804
576.705926,240,41382.42235
782.75761,240,41402.935673
783.873159,240,41423.491062
888.617154,240,41443.949507
785.662115,240,41464.461145
582.728432,240,41485.009326
685.817318,240,41505.491964
786.672032,240,41526.029597
679.280693,240,41546.642574
582.190753,240,41567.231678
782.341918,240,41587.758638
782.781932,240,41608.327628
581.986985,240,41628.866508
687.762707,240,41649.350415
881.007011,240,41669.892314
889.653002,240,41690.390543
986.664833,240,41710.79508
683.468951,240,41731.361149
994.137771,240,41751.886076
681.245474,240,41772.66574
782.244002,240,41793.198073
988.820306,240,41813.717061
774.574782,240,41834.22223
1087.352118,240,41854.82191
989.735268,240,41875.379364
785.838828,240,41895.929323
890.548711,240,41916.613394
992.876376,240,41937.130176
686.535148,240,41957.640167
683.779965,240,41978.228303
891.704536,240,41998.732282
879.99827,240,42019.211008
791.497217,240,42039.650882
583.008051,240,42060.180584
885.587065,240,42080.700223
685.139484,240,42101.205512
689.677497,240,42121.832819
991.969854,240,42142.398031
684.54242,240,42162.981417
686.190268,240,42183.718504
686.093589,240,42204.242011
682.174559,240,42224.741502
789.342069,240,42245.18864
582.958504,240,42265.696398
680.965707,240,42286.170393
785.16661,240,42306.62948
681.489806,240,42327.130212
579.817188,240,42347.701637
783.571659,240,42368.205175
1292.65162,240,42388.767218
675.087399,240,42409.280366
685.151152,240,42429.7304
690.122503,240,42450.30689
578.355899,240,42470.795672
888.160444,240,42491.284407
688.307269,240,42511.811325
887.901024,240,42532.307963
787.814155,240,42552.836391
782.102674,240,42573.351312
689.113116,240,42593.943986
785.389165,240,42614.435383
681.045695,240,42634.954335
579.940241,240,42655.490953
885.056285,240,42676.166472
587.726512,240,42696.686669
891.303337,240,42717.196042
992.747217,240,42737.707243
790.381207,240,42758.321347
788.786261,240,42778.809909
474.055954,240,42799.299776
679.679902,240,42819.90594
1188.842999,240,42840.432431
784.942649,240,42860.940746
989.372501,240,42881.455599
683.927017,240,42902.002393
681.168567,240,42922.528303
581.096853,240,42943.052361
682.461978,240,42963.582228
885.561075,240,42984.111759
589.011315,240,43004.600165
1185.035676,240,43025.102228
579.792113,240,43045.671308
984.609552,240,43066.293341
